card_id,rt
130948,47
130949,88
130950,null
130951,65
130952,null
130953,null
130954,64
130955,null
130956,39
130957,70
130958,78
130959,68
130960,59
130961,66
130962,null
130963,49
130964,53
130965,72
130966,72
130967,86
130968,27
130969,52
130970,null
130971,null
130972,44
130973,61
130974,63
130975,56
130976,41
130977,63
130978,61
130979,null
130980,68
130981,61
130982,null
130983,44
130984,85
130985,39
130986,null
130987,null
130988,48
130989,57
130990,56
130991,18
130992,44
130993,53
130994,31
130995,62
130996,53
130997,60
130998,55
130999,41
131000,null
131001,25
131002,58
131003,64
131004,63
131005,40
131006,29
131007,39
131008,66
131009,52
131010,65
131011,57
131012,null
131013,59
131014,59
131015,null
131016,null
131017,39
131018,null
131019,null
131020,64
131021,50
131022,45
131023,51
131024,59
131025,57
131026,60
131027,62
131028,null
131029,null
131030,61
131031,65
131032,66
131033,47
131034,71
131035,39
131036,59
131037,59
131038,30
131039,60
131040,47
131041,55
131042,54
131043,39
131044,56
131045,39
131046,69
131047,37
131048,65
131049,54
131050,63
131051,64
131052,78
131053,53
131054,57
131055,49
131056,46
131057,61
131058,85
131059,null
131060,62
131061,63
131062,82
131063,69
131064,29
131065,55
131066,38
131067,77
131068,59
131069,74
131070,66
131071,37
131072,70
131073,82
131074,49
131075,null
131076,48
131077,34
131078,56
131079,null
131080,null
131081,null
131082,69
131083,56
131084,58
131085,null
131086,65
131087,55
131088,null
131089,68
131090,47
131091,null
131092,56
131093,null
131094,null
131095,31
131096,61
131097,56
131098,42
131099,85
131100,59
131101,63
131102,41
131103,53
131104,78
131105,69
131106,67
131107,21
131108,68
131109,63
131110,86
131111,73
131112,75
131113,85
131114,76
131115,47
131116,60
131117,67
131118,83
131119,64
131120,null
131121,63
131122,70
131123,64
131124,51
131125,55
131126,66
131127,86
131128,null
131129,88
131130,57
131131,82
131132,74
131133,59
131134,64
131135,72
131136,67
131137,65
131138,null
131139,61
131140,90
131141,61
131142,88
131143,69
131144,73
131145,74
131146,72
131147,null
131148,71
131149,79
131150,63
131151,52
131152,68
131153,61
131154,82
131155,79
131156,80
131157,77
131158,55
131159,58
131160,87
131161,67
131162,54
131163,68
131164,53
131165,56
131166,65
131167,null
131168,54
131169,69
131170,null
131171,57
131172,66
131173,null
131174,45
131175,67
131176,74
131177,null
131178,55
131179,70
131180,73
131181,56
131182,87
131183,90
131184,83
131185,91
131186,73
131187,63
131188,63
131189,null
131190,49
131191,56
131192,null
131193,63
131194,14
131195,49
131196,67
131197,null
131198,null
131199,63
131200,null
131201,64
131202,58
131203,59
131204,59
131205,56
131206,87
131207,69
131208,71
131209,66
131210,69
131211,49
131212,72
131213,75
131214,51
131215,69
131216,68
131217,57
131218,70
131219,62
131220,91
131221,85
131222,56
131223,59
131224,67
131225,null
131226,67
131227,66
131228,null
131229,66
131230,69
131231,66
131232,60
131233,46
131234,65
131235,80
131236,70
131237,84
131238,null
131239,40
131240,55
131241,null
131242,55
131243,35
131244,81
131245,66
131246,38
131247,63
131248,65
131249,65
131250,75
131251,60
131252,46
131253,70
131254,null
131255,83
131256,69
131257,null
131258,67
131259,66
131260,72
131261,null
131262,80
131263,41
131264,68
131265,null
131266,86
131267,58
131268,56
131269,null
131270,68
131271,57
131272,63
131273,59
131274,69
131275,66
131276,null
131277,58
131278,60
131279,44
131280,69
131281,63
131282,null
131283,64
131284,73
131285,86
131286,null
131287,null
131288,77
131289,67
131290,64
131291,62
131292,70
131293,null
131294,56
131295,75
131296,91
131297,null
131298,62
131299,66
131300,47
131301,63
131302,65
131303,71
131304,63
131305,59
131306,48
131307,72
131308,60
131309,65
131310,73
131311,60
131312,null
131313,45
131314,61
131315,57
131316,69
131317,52
131318,66
131319,58
131320,null
131321,64
131322,54
131323,null
131324,50
131325,53
131326,null
131327,58
131328,null
131329,61
131330,69
131331,78
131332,67
131333,83
131334,67
131335,53
131336,60
131337,null
131338,68
131339,85
131340,53
131341,68
131342,65
131343,75
131344,64
131345,73
131346,null
131347,70
131348,42
131349,61
131350,70
131351,60
131352,21
131353,63
131354,56
131355,41
131356,79
131357,null
131358,81
131359,73
131360,34
131361,null
131362,null
131363,87
131364,54
131365,81
131366,63
131367,null
131368,70
131369,27
131370,33
131371,62
131372,49
131373,null
131374,69
131375,45
131376,57
131377,56
131378,57
131379,49
131380,30
131381,53
131382,60
131383,29
131384,57
131385,66
131386,83
131387,48
131388,66
131389,67
131390,null
131391,55
131392,63
131393,60
131394,null
131395,null
131396,57
131397,59
131398,43
131399,67
131400,19
131401,59
131402,76
131403,null
131404,67
131405,64
131406,null
131407,47
131408,57
131409,56
131410,50
131411,60
131412,49
131413,75
131414,59
131415,74
131416,69
131417,39
131418,38
131419,37
131420,60
131421,74
131422,null
131423,52
131424,69
131425,53
131426,71
131427,61
131428,53
131429,29
131430,28
131431,63
131432,62
131433,29
131434,74
131435,53
131436,60
131437,44
131438,55
131439,68
131440,65
131441,60
131442,61
131443,67
131444,78
131445,79
131446,62
131447,51
