api_player_id,season_year,position,source,classified_date
18781,2019,Winger,cmbug-modal,2026-07-09
2700,2019,ST,cmbug-modal,2026-07-09
2790,2019,Winger,cmbug-modal,2026-07-09
19074,2019,Winger,cmbug-default,2026-07-09
2710,2019,ST,cmbug-modal,2026-07-09
18964,2019,FB,cmbug-modal,2026-07-09
22173,2019,Winger,cmbug-modal,2026-07-09
1455,2018,CAM,cmbug-modal,2026-07-09
18769,2018,Winger,cmbug-modal,2026-07-09
18781,2018,Winger,cmbug-modal,2026-07-09
12753,2018,Winger,cmbug-default,2026-07-09
18876,2018,Winger,cmbug-modal,2026-07-09
2790,2018,Winger,cmbug-modal,2026-07-09
18819,2018,ST,cmbug-modal,2026-07-09
175,2018,CB,cmbug-modal,2026-07-09
18821,2018,Winger,cmbug-default,2026-07-09
18745,2018,CB,cmbug-default,2026-07-09
18740,2018,FB,cmbug-modal,2026-07-09
18854,2018,Winger,cmbug-modal,2026-07-09
19000,2018,Winger,cmbug-default,2026-07-09
19047,2018,Winger,cmbug-modal,2026-07-09
18781,2017,Winger,cmbug-modal,2026-07-09
19747,2017,Winger,cmbug-default,2026-07-09
12753,2017,Winger,cmbug-default,2026-07-09
175,2017,CB,cmbug-modal,2026-07-09
2710,2017,ST,cmbug-modal,2026-07-09
18766,2016,ST,cmbug-modal,2026-07-09
18769,2016,Winger,cmbug-modal,2026-07-09
12753,2016,Winger,cmbug-default,2026-07-09
19481,2016,CB,cmbug-default,2026-07-09
19913,2016,Winger,cmbug-default,2026-07-09
645,2016,Winger,cmbug-modal,2026-07-09
2790,2016,Winger,cmbug-modal,2026-07-09
22102,2016,ST,cmbug-modal,2026-07-09
19242,2016,CB,cmbug-default,2026-07-09
19512,2016,ST,cmbug-modal,2026-07-09
644,2016,Winger,cmbug-modal,2026-07-09
18854,2016,Winger,cmbug-modal,2026-07-09
649,2016,FB,cmbug-modal,2026-07-09
2719,2016,Winger,cmbug-default,2026-07-09
3012,2016,Winger,cmbug-modal,2026-07-09
3247,2016,ST,cmbug-modal,2026-07-09
3421,2016,CB,cmbug-modal,2026-07-09
286593,2025,CAM,cmbug-modal,2026-07-09
39121,2025,Winger,cmbug-modal,2026-07-09
162126,2025,Winger,cmbug-default,2026-07-09
309364,2025,Winger,cmbug-modal,2026-07-09
341371,2025,Winger,cmbug-default,2026-07-09
443163,2025,Winger,cmbug-default,2026-07-09
273732,2025,Winger,cmbug-default,2026-07-09
2182,2025,Winger,cmbug-modal,2026-07-09
313059,2025,Winger,cmbug-default,2026-07-09
46658,2025,Winger,cmbug-modal,2026-07-09
46667,2025,Winger,cmbug-modal,2026-07-09
67939,2025,Winger,cmbug-default,2026-07-09
338751,2025,Winger,cmbug-default,2026-07-09
491248,2025,Winger,cmbug-default,2026-07-09
2061,2025,ST,cmbug-modal,2026-07-09
181421,2025,Winger,cmbug-modal,2026-07-09
18821,2025,Winger,cmbug-default,2026-07-09
579287,2025,Winger,cmbug-default,2026-07-09
264470,2025,Winger,cmbug-modal,2026-07-09
318592,2025,Winger,cmbug-default,2026-07-09
362750,2025,Winger,cmbug-default,2026-07-09
391822,2025,Winger,cmbug-modal,2026-07-09
47554,2024,Winger,cmbug-modal,2026-07-09
129657,2024,CB,cmbug-modal,2026-07-09
46740,2024,Winger,cmbug-default,2026-07-09
128985,2024,Winger,cmbug-default,2026-07-09
190489,2024,Winger,cmbug-default,2026-07-09
128582,2024,CAM,cmbug-modal,2026-07-09
162127,2024,Winger,cmbug-modal,2026-07-09
324750,2024,Winger,cmbug-default,2026-07-09
183751,2024,Winger,cmbug-modal,2026-07-09
187214,2024,Winger,cmbug-modal,2026-07-09
162126,2024,Winger,cmbug-default,2026-07-09
47294,2024,ST,cmbug-modal,2026-07-09
183799,2024,CAM,cmbug-modal,2026-07-09
47579,2024,ST,cmbug-modal,2026-07-09
181421,2024,Winger,cmbug-modal,2026-07-09
182674,2024,Winger,cmbug-modal,2026-07-09
297742,2024,Winger,cmbug-default,2026-07-09
51241,2024,Winger,cmbug-default,2026-07-09
443162,2024,Winger,cmbug-default,2026-07-09
10009,2024,Winger,cmbug-modal,2026-07-09
30510,2024,CAM,cmbug-modal,2026-07-09
39121,2024,Winger,cmbug-modal,2026-07-09
2061,2024,ST,cmbug-modal,2026-07-09
9971,2024,CAM,cmbug-modal,2026-07-09
47324,2024,ST,cmbug-modal,2026-07-09
25458,2024,Winger,cmbug-modal,2026-07-09
668,2023,CAM,cmbug-modal,2026-07-09
47554,2023,Winger,cmbug-modal,2026-07-09
18906,2023,CAM,cmbug-modal,2026-07-09
128582,2023,CAM,cmbug-modal,2026-07-09
46933,2023,Winger,cmbug-modal,2026-07-09
323935,2023,Winger,cmbug-modal,2026-07-09
183751,2023,Winger,cmbug-modal,2026-07-09
187214,2023,Winger,cmbug-modal,2026-07-09
47294,2023,ST,cmbug-modal,2026-07-09
183799,2023,CAM,cmbug-modal,2026-07-09
2672,2023,Winger,cmbug-modal,2026-07-09
400948,2023,Winger,cmbug-default,2026-07-09
30510,2023,CAM,cmbug-modal,2026-07-09
263812,2023,Winger,cmbug-default,2026-07-09
265785,2023,Winger,cmbug-default,2026-07-09
266657,2023,Winger,cmbug-default,2026-07-09
138776,2023,Winger,cmbug-modal,2026-07-09
284300,2023,FB,cmbug-modal,2026-07-09
25458,2023,Winger,cmbug-modal,2026-07-09
668,2022,CAM,cmbug-modal,2026-07-09
47002,2022,Winger,cmbug-default,2026-07-09
181734,2022,FB,cmbug-modal,2026-07-09
162127,2022,Winger,cmbug-modal,2026-07-09
183799,2022,CAM,cmbug-modal,2026-07-09
47349,2022,ST,cmbug-modal,2026-07-09
189866,2022,CB,cmbug-modal,2026-07-09
2672,2022,Winger,cmbug-modal,2026-07-09
2459,2022,CAM,cmbug-modal,2026-07-09
30510,2022,CAM,cmbug-modal,2026-07-09
265785,2022,Winger,cmbug-default,2026-07-09
2061,2022,ST,cmbug-modal,2026-07-09
18906,2022,CAM,cmbug-modal,2026-07-09
47320,2022,ST,cmbug-modal,2026-07-09
47002,2021,Winger,cmbug-default,2026-07-09
2060,2021,Winger,cmbug-modal,2026-07-09
47520,2021,ST,cmbug-modal,2026-07-09
32862,2021,Winger,cmbug-modal,2026-07-09
35575,2021,Winger,cmbug-modal,2026-07-09
1586,2021,ST,cmbug-modal,2026-07-09
47002,2020,Winger,cmbug-default,2026-07-09
47520,2020,ST,cmbug-modal,2026-07-09
35575,2020,Winger,cmbug-modal,2026-07-09
46656,2019,CDM,cmbug-modal,2026-07-09
47390,2019,Winger,cmbug-modal,2026-07-09
668,2019,CAM,cmbug-modal,2026-07-09
47275,2019,FB,cmbug-modal,2026-07-09
47520,2019,ST,cmbug-modal,2026-07-09
47317,2019,Winger,cmbug-modal,2026-07-09
47323,2019,CAM,cmbug-modal,2026-07-09
2672,2019,Winger,cmbug-modal,2026-07-09
2057,2019,CAM,cmbug-modal,2026-07-09
1586,2019,ST,cmbug-modal,2026-07-09
2459,2019,CAM,cmbug-modal,2026-07-09
47487,2019,CB,cmbug-modal,2026-07-09
47513,2018,CDM,cmbug-modal,2026-07-09
1574,2018,CB,cmbug-default,2026-07-09
47492,2018,Winger,cmbug-modal,2026-07-09
47314,2018,CB,cmbug-modal,2026-07-09
47467,2018,ST,cmbug-modal,2026-07-09
1702,2018,FB,cmbug-modal,2026-07-09
2057,2018,CAM,cmbug-modal,2026-07-09
47488,2018,Winger,cmbug-default,2026-07-09
1696,2018,Winger,cmbug-modal,2026-07-09
47519,2018,FB,cmbug-modal,2026-07-09
925,2018,ST,cmbug-modal,2026-07-09
2710,2018,ST,cmbug-modal,2026-07-09
47447,2018,CAM,cmbug-modal,2026-07-09
50180,2018,Winger,cmbug-modal,2026-07-09
47390,2017,Winger,cmbug-modal,2026-07-09
46922,2017,Winger,cmbug-default,2026-07-09
46807,2017,Winger,cmbug-default,2026-07-09
1421,2017,CAM,cmbug-modal,2026-07-09
47417,2017,Winger,cmbug-default,2026-07-09
47467,2017,ST,cmbug-modal,2026-07-09
2057,2017,CAM,cmbug-modal,2026-07-09
47488,2017,Winger,cmbug-default,2026-07-09
1854,2017,ST,cmbug-modal,2026-07-09
757,2017,FB,cmbug-modal,2026-07-09
925,2017,ST,cmbug-modal,2026-07-09
8542,2017,CAM,cmbug-modal,2026-07-09
2719,2017,Winger,cmbug-default,2026-07-09
2047,2016,CB,cmbug-default,2026-07-09
47390,2016,Winger,cmbug-modal,2026-07-09
47201,2016,Winger,cmbug-default,2026-07-09
47417,2016,Winger,cmbug-default,2026-07-09
104849,2016,Winger,cmbug-default,2026-07-09
35575,2016,Winger,cmbug-modal,2026-07-09
47488,2016,Winger,cmbug-default,2026-07-09
2520,2016,CAM,cmbug-modal,2026-07-09
1854,2016,ST,cmbug-modal,2026-07-09
30531,2016,ST,cmbug-modal,2026-07-09
50940,2016,Winger,cmbug-modal,2026-07-09
19034,2016,Winger,cmbug-modal,2026-07-09
311083,2025,Winger,cmbug-default,2026-07-09
38753,2025,Winger,cmbug-default,2026-07-09
8643,2025,CAM,cmbug-modal,2026-07-09
118956,2025,Winger,cmbug-modal,2026-07-09
842,2025,ST,cmbug-modal,2026-07-09
362752,2025,Winger,cmbug-default,2026-07-09
873,2025,CAM,cmbug-modal,2026-07-09
347265,2025,Winger,cmbug-default,2026-07-09
278095,2025,Winger,cmbug-default,2026-07-09
354533,2025,Winger,cmbug-default,2026-07-09
6662,2025,Winger,cmbug-default,2026-07-09
272,2025,CAM,cmbug-modal,2026-07-09
36986,2025,Winger,cmbug-modal,2026-07-09
1841,2025,CB,cmbug-modal,2026-07-09
400948,2025,Winger,cmbug-default,2026-07-09
22229,2024,Winger,cmbug-modal,2026-07-09
26315,2024,Winger,cmbug-modal,2026-07-09
31507,2024,Winger,cmbug-modal,2026-07-09
161585,2024,ST,cmbug-modal,2026-07-09
339883,2024,ST,cmbug-modal,2026-07-09
