card_id,api_player_id,player_name,season,club,current_pool,verified_position,confidence,evidence,source,fetched_at
130855,20589,B. Mbeumo,2425,Brentford,Winger,Winger,high,"Right Winger 33, Centre-Forward 6, Right Midfield 1, Second Striker 1  (base 41, Winger 83%)",transfermarkt,2026-08-10T20:18:58.092Z
131140,306,Mohamed Salah,2324,Liverpool,Winger,Winger,high,"Right Winger 44  (base 44, Winger 100%)",transfermarkt,2026-08-10T20:19:03.919Z
132391,306,Mohamed Salah,2021,Liverpool,ST,Winger,high,"Right Winger 47, Centre-Forward 4  (base 51, Winger 92%)",transfermarkt,2026-08-10T20:19:16.323Z
133101,18788,J. Vardy,1920,Leicester,Winger,ST,high,"Centre-Forward 40  (base 40, ST 100%)",transfermarkt,2026-08-10T20:20:07.329Z
133516,1465,P. Aubameyang,1819,Arsenal,ST,ST,high,"Centre-Forward 38, Left Winger 8, Right Winger 5  (base 51, ST 75%)",transfermarkt,2026-08-10T20:20:53.002Z
133752,642,S. Agüero,1718,Manchester City,Winger,ST,high,"Centre-Forward 39  (base 39, ST 100%)",transfermarkt,2026-08-10T20:21:10.194Z
133827,645,R. Sterling,1718,Manchester City,Winger,Winger,high,"Right Winger 27, Left Winger 10, Centre-Forward 7, Attacking Midfield 1  (base 45, Winger 82%)",transfermarkt,2026-08-10T20:21:31.498Z
134051,54,Diego Costa,1617,Chelsea,Winger,ST,high,"Centre-Forward 40  (base 40, ST 100%)",transfermarkt,2026-08-10T20:21:51.499Z
134542,642,S. Agüero,1516,Manchester City,ST,ST,high,"Centre-Forward 42, Second Striker 2  (base 44, ST 95%)",transfermarkt,2026-08-10T20:22:32.641Z
134697,184,H. Kane,1516,Tottenham,ST,ST,high,"Centre-Forward 50  (base 50, ST 100%)",transfermarkt,2026-08-10T20:22:37.802Z
134711,635,R. Mahrez,1516,Leicester,Winger,Winger,high,"Right Winger 35, Attacking Midfield 3  (base 38, Winger 92%)",transfermarkt,2026-08-10T20:22:55.164Z
137463,278,Kylian Mbappé,2425,Real Madrid,ST,ST,high,"Centre-Forward 57, Left Winger 2  (base 59, ST 97%)",transfermarkt,2026-08-10T20:23:14.053Z
139225,759,K. Benzema,2021,Real Madrid,ST,ST,high,"Centre-Forward 46  (base 46, ST 100%)",transfermarkt,2026-08-10T20:23:30.698Z
139652,759,K. Benzema,1920,Real Madrid,ST,ST,high,"Centre-Forward 48  (base 48, ST 100%)",transfermarkt,2026-08-10T20:23:44.564Z
139925,2059,W. Ben Yedder,1819,Sevilla,ST,ST,high,"Centre-Forward 49, Second Striker 5  (base 54, ST 91%)",transfermarkt,2026-08-10T20:24:14.056Z
140240,157,L. Suárez,1819,Barcelona,ST,CM,high,"Central Midfield 20, Attacking Midfield 8, Left Winger 7, Right Winger 2  (base 37, CM 54%)",transfermarkt,2026-08-10T20:25:38.791Z
140646,47445,Iago Aspas,1718,Celta Vigo,Winger,Winger,high,"Right Winger 28, Centre-Forward 8, Second Striker 1  (base 37, Winger 76%)",transfermarkt,2026-08-10T20:26:24.793Z
147424,332,D. Mertens,1819,Napoli,Winger,ST,high,"Centre-Forward 26, Second Striker 18, Left Winger 2, Right Winger 1  (base 47, ST 55%)",transfermarkt,2026-08-10T20:28:09.666Z
153473,1166,T. Werner,1920,RB Leipzig,ST,ST,high,"Centre-Forward 36, Left Winger 5, Second Striker 4  (base 45, ST 80%)",transfermarkt,2026-08-10T20:28:55.720Z
154943,1465,P. Aubameyang,1516,Borussia Dortmund,ST,ST,high,"Centre-Forward 45, Right Winger 4  (base 49, ST 92%)",transfermarkt,2026-08-10T20:29:48.432Z
157546,278,Kylian Mbappé,2324,Paris Saint Germain,ST,ST,high,"Centre-Forward 26, Left Winger 21, Right Winger 1  (base 48, ST 54%)",transfermarkt,2026-08-10T20:30:27.349Z
157988,278,Kylian Mbappé,2223,Paris Saint Germain,ST,ST,high,"Centre-Forward 38, Left Winger 4  (base 42, ST 90%)",transfermarkt,2026-08-10T20:30:42.162Z
160335,274,E. Cavani,1718,Paris Saint Germain,ST,ST,high,"Centre-Forward 47, Left Winger 1  (base 48, ST 98%)",transfermarkt,2026-08-10T20:31:44.037Z
170276,246,L. de Jong,2324,PSV Eindhoven,ST,ST,high,"Centre-Forward 48  (base 48, ST 100%)",transfermarkt,2026-08-10T20:32:23.377Z
145668,2780,V. Osimhen,2223,Napoli,ST,ST,high,"Centre-Forward 39  (base 39, ST 100%)",transfermarkt,2026-08-10T20:32:39.269Z
147839,216,M. Icardi,1718,Inter,ST,ST,high,"Centre-Forward 36  (base 36, ST 100%)",transfermarkt,2026-08-10T20:33:48.036Z
132265,184,H. Kane,2122,Tottenham,ST,ST,high,"Centre-Forward 49  (base 49, ST 100%)",transfermarkt,2026-08-10T20:35:46.101Z
131142,2864,A. Isak,2324,Newcastle,ST,ST,high,"Centre-Forward 38  (base 38, ST 100%)",transfermarkt,2026-08-10T20:36:08.362Z
151977,184,H. Kane,2324,Bayern München,ST,ST,high,"Centre-Forward 45  (base 45, ST 100%)",transfermarkt,2026-08-11T05:36:20.347Z
152972,521,R. Lewandowski,2021,Bayern München,ST,ST,high,"Centre-Forward 40  (base 40, ST 100%)",transfermarkt,2026-08-11T05:36:32.168Z
132266,186,Son Heung-Min,2122,Tottenham,ST,Winger,high,"Left Winger 32, Centre-Forward 6, Attacking Midfield 5, Right Winger 1  (base 44, Winger 75%)",transfermarkt,2026-08-11T05:36:58.317Z
152603,521,R. Lewandowski,2122,Bayern München,ST,ST,high,"Centre-Forward 46  (base 46, ST 100%)",transfermarkt,2026-08-11T05:37:10.190Z
153358,521,R. Lewandowski,1920,Bayern München,ST,ST,high,"Centre-Forward 47  (base 47, ST 100%)",transfermarkt,2026-08-11T05:37:23.542Z
154477,521,R. Lewandowski,1617,Bayern München,ST,ST,high,"Centre-Forward 47  (base 47, ST 100%)",transfermarkt,2026-08-11T05:37:38.554Z
154840,521,R. Lewandowski,1516,Bayern München,ST,ST,high,"Centre-Forward 51  (base 51, ST 100%)",transfermarkt,2026-08-11T05:38:00.943Z
132787,306,Mohamed Salah,1920,Liverpool,ST,Winger,high,"Right Winger 43, Centre-Forward 5  (base 48, Winger 90%)",transfermarkt,2026-08-11T05:38:29.611Z
133289,2296,E. Hazard,1819,Chelsea,ST,Winger,high,"Left Winger 42, Centre-Forward 9  (base 51, Winger 82%)",transfermarkt,2026-08-11T05:38:55.555Z
133364,642,S. Agüero,1819,Manchester City,ST,ST,high,"Centre-Forward 46  (base 46, ST 100%)",transfermarkt,2026-08-11T05:39:32.223Z
140071,759,K. Benzema,1819,Real Madrid,ST,ST,high,"Centre-Forward 52, Left Winger 1  (base 53, ST 98%)",transfermarkt,2026-08-11T05:39:57.273Z
140211,47445,Iago Aspas,1819,Celta Vigo,ST,ST,high,"Centre-Forward 22, Right Winger 6  (base 28, ST 79%)",transfermarkt,2026-08-11T05:40:19.410Z
140451,56,A. Griezmann,1718,Atletico Madrid,ST,ST,high,"Centre-Forward 28, Second Striker 20, Right Winger 1  (base 49, ST 57%)",transfermarkt,2026-08-11T05:41:05.015Z
141405,759,K. Benzema,1516,Real Madrid,ST,ST,high,"Centre-Forward 35  (base 35, ST 100%)",transfermarkt,2026-08-11T05:41:23.516Z
146475,907,R. Lukaku,2021,Inter,ST,ST,high,"Centre-Forward 44  (base 44, ST 100%)",transfermarkt,2026-08-11T05:41:33.224Z
146545,874,Cristiano Ronaldo,2021,Juventus,Winger,ST,high,"Centre-Forward 43, Left Winger 1  (base 44, ST 98%)",transfermarkt,2026-08-11T05:41:47.075Z
151601,184,H. Kane,2425,Bayern München,ST,ST,high,"Centre-Forward 51  (base 51, ST 100%)",transfermarkt,2026-08-11T05:41:57.342Z
154092,521,R. Lewandowski,1718,Bayern München,Winger,ST,high,"Centre-Forward 48  (base 48, ST 100%)",transfermarkt,2026-08-11T05:42:07.018Z
158860,278,Kylian Mbappé,2021,Paris Saint Germain,ST,Winger,high,"Centre-Forward 22, Left Winger 20, Right Winger 4, Second Striker 1  (base 47, Winger 51%)",transfermarkt,2026-08-11T05:42:41.129Z
