club_rank,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,status,api_player_id,card_id
13,M. Reus,1617,Borussia Dortmund,BL,CAM,MID,74,7,4,1190,1.74,held,25,154485
13,M. Reus,2223,Borussia Dortmund,BL,CM,MID,70,6,4,1356,0.6,unchecked,25,152261
14,Koke,1516,Atletico Madrid,LL,CM,MID,84,5,14,2972,0.45,unchecked,50,141372
14,Koke,1617,Atletico Madrid,LL,CM,MID,76,4,8,3171,0.4,unchecked,50,140911
14,Á. Correa,1718,Atletico Madrid,LL,CAM,FWD,75,8,4,2264,2.74,held,53,140473
14,Y. Carrasco,2122,Atletico Madrid,LL,CM,MID,74,6,6,2591,3.06,unchecked,2923,138770
14,Á. Correa,1617,Atletico Madrid,LL,CAM,FWD,73,4,8,1213,3.64,held,53,140932
14,Koke,1718,Atletico Madrid,LL,CM,MID,70,4,4,2764,0.65,unchecked,50,140450
15,C. Eriksen,1617,Tottenham,PL,CDM,MID,89,8,15,3167,0.77,unchecked,174,134338
15,D. Alli,1617,Tottenham,PL,CAM,MID,89,18,7,3045,1.45,unchecked,172,134381
15,C. Eriksen,1819,Tottenham,PL,CDM,MID,88,8,12,2772,0.58,unchecked,174,133532
15,C. Eriksen,1718,Tottenham,PL,CDM,MID,88,10,10,3226,0.81,unchecked,174,133928
15,D. Alli,1718,Tottenham,PL,CAM,MID,86,9,10,2972,1.33,unchecked,172,133972
15,D. Alli,1516,Tottenham,PL,CAM,MID,86,10,9,2482,1.09,held,172,134782
15,C. Eriksen,1516,Tottenham,PL,CAM,MID,85,6,13,2941,1.07,unchecked,174,134750
15,J. Maddison,2425,Tottenham,PL,CAM,MID,84,9,7,1817,1.63,unchecked,18784,130744
15,Rafael van der Vaart,1011,Tottenham,PL,CAM,MID,83,13,NR,2239,NR,unchecked,114799,136674
15,J. Maddison,2324,Tottenham,PL,CAM,MID,80,4,9,2154,1.34,unchecked,18784,131157
15,D. Alli,1920,Tottenham,PL,CAM,MID,80,8,4,1853,1.41,held,172,133173
15,Rafael van der Vaart,1112,Tottenham,PL,CAM,MID,80,11,NR,2335,NR,unchecked,114799,136284
15,D. Kulusevski,2324,Tottenham,PL,CM,MID,79,8,3,2767,1.76,unchecked,30435,131145
15,D. Kulusevski,2425,Tottenham,PL,CM,MID,78,7,4,2390,1.43,unchecked,30435,130733
15,P. Højbjerg,2223,Tottenham,PL,CDM,MID,74,4,5,3133,0.89,unchecked,2735,131859
15,R. Bentancur,2223,Tottenham,PL,CDM,MID,73,5,2,1506,1.25,unchecked,863,131557
15,D. Alli,1819,Tottenham,PL,CM,MID,73,5,3,1835,1.42,unchecked,172,133566
15,João Palhinha,2526,Tottenham,PL,CDM,MID,72,5,2,2210,0.41,unchecked,41104,130426
15,P. Højbjerg,2122,Tottenham,PL,CDM,MID,70,2,2,3199,1.18,unchecked,2735,132256
