player_name,season,club,current_pool,goals,assists,minutes,dribbles_success,passes_key
Ó. Trejo,2122,Rayo Vallecano,CAM,3,9,2022,82,60
P. Pogba,1617,Manchester United,CAM,5,4,2609,72,59
Pablo Fornals,2021,West Ham,CAM,5,4,2583,29,32
Pedro Santos,1617,SC Braga,CAM,6,7,2025,27,44
S. Berghuis,2122,Ajax,CAM,8,11,2401,21,79
T. Hazard,1617,Borussia Mönchengladbach,CAM,6,4,1631,38,32
Y. Wissa,2021,Lorient,CAM,10,4,2683,55,29
A. Januzaj,1718,Real Sociedad,CAM,3,5,1579,67,35
Carlos Júnior,2021,Santa Clara,CAM,14,3,2753,32,14
D. James,1920,Manchester United,CAM,3,6,2291,27,26
E. Valencia,2021,Fenerbahçe,CAM,12,4,2480,47,42
J. Bamba,1718,Saint Etienne,CAM,7,8,2569,43,56
J. Brandt,1617,Bayer Leverkusen,CAM,3,8,2305,70,52
J. Jankto,1617,Udinese,CAM,5,4,1905,12,39
João Amaral,1718,Vitoria Setubal,CAM,9,2,2258,26,26
K. Coman,2223,Bayern München,CAM,8,5,1416,46,42
L. Ocampos,1819,Marseille,CAM,4,7,2714,66,31
L. Sané,2122,Bayern München,CAM,7,7,1980,61,50
L. Sané,2021,Bayern München,CAM,6,9,1802,61,33
Ö. Şahiner,1819,Konyaspor,CAM,8,4,2189,16,43
T. Müller,2324,Bayern München,CAM,5,9,1659,11,52
W. Cyprien,1617,Nice,CAM,8,3,2433,55,26
Y. Tielemans,1617,Anderlecht,CAM,13,NR,3042,NR,NR
A. Bobichon,1819,Nimes,CAM,7,2,2154,17,27
Adri Embarba,1819,Rayo Vallecano,CAM,5,6,2291,48,55
Álex Berenguer,2021,Athletic Club,CAM,8,4,2289,35,38
D. de Wit,2122,AZ Alkmaar,CAM,10,4,3178,13,32
D. Rots,2324,Twente,CAM,7,10,2594,50,51
E. Akbaba,2122,Alanyaspor,CAM,9,4,2052,32,37
G. Til,1718,AZ Alkmaar,CAM,9,3,2829,26,42
J. Bamba,2021,Lille,CAM,6,9,2993,52,66
J. Corona,1920,FC Porto,CAM,4,11,2763,68,57
J. Corona,1819,FC Porto,CAM,3,9,2352,59,67
K. Coman,2021,Bayern München,CAM,5,10,1766,56,46
M. Simon,2122,Nantes,CAM,6,8,2352,41,66
M. Vargas,2122,Adana Demirspor,CAM,5,13,2472,58,97
N. Pépé,1920,Arsenal,CAM,5,6,2023,72,40
Rodrigo,2021,Leeds,CAM,7,2,1288,16,31
C. Ünder,1819,AS Roma,CAM,3,7,1376,22,33
D. McNeil,2425,Everton,CAM,4,6,1376,24,38
E. Can,1617,Liverpool,CAM,5,2,2368,21,33
Fredy,2021,Antalyaspor,CAM,8,5,2714,40,40
Ivi López,1718,Levante,CAM,4,3,1757,33,23
J. Ramsey,2122,Aston Villa,CAM,6,1,2476,30,21
Jorge de Frutos,2021,Levante,CAM,4,9,2187,46,41
M. Arnautović,1617,Stoke City,CAM,6,5,2725,62,52
M. Gradel,1718,Toulouse,CAM,8,1,2418,82,47
N. Sliti,1718,Dijon,CAM,7,6,2297,104,59
P. Lees-Melou,1718,Nice,CAM,5,6,2897,33,57
S. Gnabry,2021,Bayern München,CAM,10,2,1652,24,41
Tana,1617,Las Palmas,CAM,4,4,2211,32,44
A. Nordin,2223,Montpellier,CAM,9,3,2425,38,20
A. Schöpf,1617,FC Schalke 04,CAM,6,2,2038,34,25
A. Skov Olsen,2122,Club Brugge KV,CAM,6,8,1081,14,28
Álex Berenguer,2425,Athletic Club,CAM,6,7,2351,32,47
Bruno Guimarães,2122,Newcastle,CAM,5,1,1032,22,12
C. Pulišić,1718,Borussia Dortmund,CAM,4,5,2312,77,30
C. Pulišić,1617,Borussia Dortmund,CAM,3,6,1515,55,25
D. Türüç,1718,Kayserispor,CAM,5,6,2681,62,55
Dirk Kuijt,1617,Feyenoord,CAM,12,NR,2258,NR,NR
F. Neuhaus,2021,Borussia Mönchengladbach,CAM,6,5,2631,44,25
F. Selemani,2021,Kortrijk,CAM,8,7,2163,43,69
F. Vázquez,1718,Sevilla,CAM,4,6,1845,32,41
F. Vázquez,1617,Sevilla,CAM,7,3,2092,28,32
G. Sio,1920,Gençlerbirliği S.K.,CAM,10,3,2145,24,35
Galeno,2324,FC Porto,CAM,9,7,2240,32,48
Héldon Augusto Almeida Ramos,1718,Guimaraes,CAM,5,6,2063,32,33
J. Brandt,1920,Borussia Dortmund,CAM,3,7,2210,66,40
K. Coman,1819,Bayern München,CAM,6,4,1387,60,28
K. Diatta,2021,Club Brugge KV,CAM,9,2,1504,27,34
M. Greenwood,2021,Manchester United,CAM,7,2,1825,36,15
M. Mahi,1819,Groningen,CAM,8,6,2172,39,33
M. Uth,2122,1. FC Köln,CAM,5,8,2041,25,56
Miguel Cardoso,1718,Tondela,CAM,8,6,2610,31,31
Nolito,2021,Celta Vigo,CAM,7,5,2627,30,35
P. Lees-Melou,1617,Dijon,CAM,7,3,2497,25,28
R. Oudin,2122,Bordeaux,CAM,4,5,1742,19,21
R. Ripart,1819,Nimes,CAM,8,4,3009,17,30
Salomon Armand Magloire Kalou,1617,Hertha BSC,CAM,7,4,1998,30,24
A. Claude-Maurice,2021,Nice,CAM,4,5,1908,48,35
C. Ekuban,2021,Trabzonspor,CAM,10,4,2747,66,45
Everton,2021,Benfica,CAM,7,8,1977,60,40
G. Caprari,2021,Benevento,CAM,5,6,1879,52,35
G. Castrovilli,2021,Fiorentina,CAM,5,3,2348,30,20
H. Hajradinović,1920,Kasımpaşa,CAM,4,7,2273,27,58
J. Bamba,2223,Lille,CAM,6,7,2789,35,46
J. Boëtius,1920,FSV Mainz 05,CAM,4,5,2270,35,36
J. Harrison,2122,Leeds,CAM,8,1,2649,54,42
J. Karlsson,2223,AZ Alkmaar,CAM,9,4,1786,11,42
Jason,1819,Levante,CAM,2,5,2333,29,30
K. Mitoma,2122,Union St. Gilloise,CAM,7,3,1630,34,25
Ł. Podolski,1617,Galatasaray,CAM,7,5,1780,9,28
M. Yandaş,1920,Sivasspor,CAM,6,5,2525,49,85
Miguel Cardoso,2425,Kayserispor,CAM,8,7,2869,24,50
Nani,1819,Sporting CP,CAM,7,4,1350,23,29
P. Herrmann,1920,Borussia Mönchengladbach,CAM,6,5,1452,12,25
R. Del Castillo,2526,Stade Brestois 29,CAM,9,3,2643,29,57
R. Hamouma,1617,Saint Etienne,CAM,7,5,1967,40,48
R. Orsolini,2021,Bologna,CAM,7,3,1757,36,30
S. Diop,2021,Monaco,CAM,7,1,2034,45,29
S. Eduok,1718,Kasımpaşa,CAM,7,2,1592,22,19
S. Mavididi,2122,Montpellier,CAM,8,3,2313,40,23
Trincão,1920,SC Braga,CAM,8,5,1606,60,34
A. Skov Olsen,2425,Club Brugge KV,CAM,8,4,1143,13,25
A. Skov Olsen,2324,Club Brugge KV,CAM,8,4,1143,13,25
Álex Berenguer,2324,Athletic Club,CAM,7,3,1579,22,33
C. Ünder,1718,AS Roma,CAM,7,1,1255,23,23
D. Rots,2526,Twente,CAM,9,4,2368,26,53
H. Traorè,2021,Sassuolo,CAM,5,2,1789,52,35
J. Cabot,1617,Lorient,CAM,5,4,1269,40,29
Jorge de Frutos,2122,Levante,CAM,4,7,1766,36,22
K. Bellarabi,1819,Bayer Leverkusen,CAM,5,4,1060,17,26
Ladislav Krejčí I,1617,Bologna,CAM,1,8,2785,30,58
M. Lopez,1617,Marseille,CAM,3,7,2185,30,49
O. Tannane,1920,Vitesse,CAM,5,6,1437,33,47
P. Wimmer,2122,Arminia Bielefeld,CAM,3,6,2066,71,42
Pablo Fornals,1920,West Ham,CAM,2,5,2177,15,19
R. Vargas,2021,FC Augsburg,CAM,6,3,1613,36,25
S. Benrahma,2223,West Ham,CAM,6,3,2070,51,48
Ayoze Pérez,2324,Real Betis,CAM,9,1,2309,50,30
B. Celina,1617,Twente,CAM,5,4,2156,51,41
B. Kraev,1920,GIL Vicente,CAM,8,1,2267,21,23
B. Mensah,1920,Kayserispor,CAM,4,6,1947,69,49
B. Ndiaye,1617,Ankaraspor,CAM,6,2,2322,73,25
Brahim Díaz,2021,AC Milan,CAM,4,3,1242,25,20
C. Ünder,2324,Fenerbahçe,CAM,9,2,1046,7,21
C. Ünder,1617,Başakşehir,CAM,7,5,2515,31,34
D. Rossi,2122,Fenerbahçe,CAM,6,7,1988,24,29
Davidson,2021,Alanyaspor,CAM,11,2,3023,82,44
F. Krovinović,1617,Rio Ave,CAM,5,3,1656,29,29
I. Sarr,1920,Watford,CAM,5,4,2030,47,25
J. Dompé,2122,Zulte Waregem,CAM,3,12,2635,40,65
M. Uth,1920,1. FC Köln,CAM,5,5,1168,14,31
Moi Gómez,1617,Sporting Gijon,CAM,2,5,1878,35,35
N. Bentaleb,1718,FC Schalke 04,CAM,4,3,1010,5,9
R. Steffen,1819,VfL Wolfsburg,CAM,5,1,1506,19,14
S. Thioub,1819,Nimes,CAM,3,5,2481,71,37
S. Tonali,2122,AC Milan,CAM,5,2,2607,30,44
T. Souček,2122,West Ham,CAM,5,1,3062,10,21
Y. Salibur,1617,Guingamp,CAM,8,4,2826,81,56
A. Bakasetas,2021,Trabzonspor,CAM,7,2,1606,22,37
A. Iwobi,1819,Arsenal,CAM,3,6,1972,46,41
A. Katai,1617,Alaves,CAM,3,3,770,24,15
A. Rabiot,2526,AC Milan,CAM,6,4,2557,20,27
Antony,2122,Ajax,CAM,8,4,1736,42,38
D. Bouanga,2021,Saint Etienne,CAM,7,4,2734,57,25
D. Machís,2021,Granada CF,CAM,5,5,2028,45,25
Deulofeu,1920,Watford,CAM,4,5,2109,62,44
E. Smith Rowe,2021,Arsenal,CAM,2,4,1448,10,27
F. Chiesa,2021,Juventus,CAM,8,1,2227,6,5
F. Selemani,2223,Kortrijk,CAM,8,4,2058,34,44
H. Mkhitaryan,1718,Arsenal,CAM,2,4,796,16,16
J. Paintsil,2021,Ankaragücü,CAM,11,NR,2219,34,19
K. Coman,2425,Bayern München,CAM,5,4,1283,38,32
M. Locatelli,1819,Sassuolo,CAM,2,4,1849,21,41
M. Mahi,1718,Groningen,CAM,7,5,2037,33,36
M. Thuram,2021,Borussia Mönchengladbach,CAM,8,2,1740,45,17
Matheus Cunha,2021,Hertha BSC,CAM,7,4,2155,82,49
Miguel Cardoso,2223,Kayserispor,CAM,7,6,2348,23,41
Ö. Şahiner,1617,Konyaspor,CAM,5,3,2410,17,26
R. Dōan,2122,PSV Eindhoven,CAM,8,1,1517,37,15
R. Mahrez,1617,Leicester,CAM,6,3,2837,78,51
R. Oudin,2021,Bordeaux,CAM,4,4,2431,14,39
R. Vargas,1920,FC Augsburg,CAM,6,1,2538,54,23
Ricardo Valente,1718,Maritimo,CAM,8,3,2376,34,21
S. Khaoui,1718,Estac Troyes,CAM,5,2,1960,49,31
T. Boyd,1819,Ankaragücü,CAM,6,4,1144,17,20
A. Doucouré,1920,Watford,CAM,4,2,3166,40,38
A. El Kaabi,2223,Hatayspor,CAM,8,3,1801,5,18
A. Mehmedi,1718,Bayer Leverkusen,CAM,3,6,988,4,42
B. Ramselaar,1617,PSV Eindhoven,CAM,5,3,1822,35,27
B. Samudio,2021,Rizespor,CAM,8,4,2520,42,31
Cristian Tello,2021,Real Betis,CAM,5,3,1277,23,21
